src_bytes,dst_bytes,dst_host_srv_count,FLAG_SF,dst_host_diff_srv_rate,dst_host_rerror_rate,diff_srv_rate,count,rerror_rate,dst_host_serror_rate,target
0.0,0.0,10.0,False,0.06,1.0,0.06,229,1.0,0.0,1
0.0,0.0,1.0,False,0.06,1.0,0.06,136,1.0,0.0,1
717.5,0.0,86.0,True,0.04,0.0,0.0,1,0.0,0.0,0
20.0,0.0,57.0,True,0.0,0.0,0.0,1,0.0,0.0,1
0.0,15.0,86.0,False,0.17,0.83,0.0,1,1.0,0.0,1
267.0,1502.5,255.0,True,0.0,0.0,0.0,4,0.0,0.01,0
717.5,387.0,28.0,True,0.72,0.72,0.0,1,0.0,0.0,0
129.0,174.0,255.0,True,0.0,0.02,0.0,1,0.0,0.01,1
327.0,467.0,255.0,True,0.0,0.0,0.0,33,0.0,0.0,0
26.0,157.0,26.0,True,0.08,0.0,0.0,1,0.0,0.0,1
0.0,0.0,128.0,True,0.01,0.66,0.0,1,0.0,0.0,1
616.0,330.0,129.0,True,0.03,0.33,0.0,1,0.0,0.0,0
0.0,0.0,2.0,False,0.07,1.0,0.07,111,1.0,0.0,1
0.0,0.0,171.0,False,0.07,0.02,0.0,120,0.0,0.69,1
717.5,1502.5,73.0,True,0.05,0.0,0.0,1,0.0,0.0,0
350.0,1502.5,255.0,True,0.0,0.0,0.0,8,0.0,0.0,0
213.0,659.0,255.0,True,0.0,0.0,0.0,24,0.0,0.0,0
246.0,1502.5,255.0,True,0.0,0.0,0.0,16,0.0,0.0,0
45.0,44.0,255.0,True,0.0,0.0,0.0,306,0.0,0.0,0
0.0,0.0,18.0,False,0.07,1.0,0.07,204,1.0,0.0,1
0.0,0.0,19.0,False,0.05,1.0,0.05,118,1.0,0.0,1
0.0,0.0,87.0,False,0.01,0.0,0.0,1,0.0,1.0,1
196.0,1502.5,255.0,True,0.0,0.0,0.0,17,0.0,0.0,0
277.0,1502.5,255.0,True,0.0,0.0,0.0,17,0.0,0.0,0
0.0,0.0,8.0,False,0.06,1.0,0.07,116,1.0,0.0,1
0.0,0.0,13.0,False,0.06,1.0,0.06,273,1.0,0.0,1
294.0,1502.5,255.0,True,0.0,0.0,0.0,22,0.0,0.0,0
300.0,440.0,255.0,True,0.0,0.0,0.0,7,0.0,0.0,0
520.0,0.0,59.0,True,0.0,0.0,0.0,306,0.0,0.0,1
54.0,51.0,255.0,True,0.0,0.0,0.0,306,0.0,0.0,0
717.5,1.0,238.0,False,0.01,0.07,0.0,12,1.0,0.0,1
717.5,281.0,82.0,True,0.06,0.0,0.0,1,0.0,0.01,0
301.0,1502.5,255.0,True,0.0,0.0,0.0,15,0.0,0.05,0
1.0,1.0,3.0,True,0.58,0.01,0.38,40,0.0,0.0,0
0.0,0.0,1.0,False,1.0,0.96,1.0,306,0.92,0.0,1
0.0,44.0,59.0,False,0.03,0.89,1.0,2,1.0,0.01,1
209.0,1502.5,255.0,True,0.0,0.0,0.0,11,0.0,0.0,0
220.0,688.0,27.0,True,0.08,0.0,0.0,1,0.0,0.0,1
43.0,71.0,254.0,True,0.01,0.0,0.0,113,0.0,0.0,0
717.5,0.0,114.0,True,0.01,0.0,0.0,15,0.0,0.0,0
